tag,patterns,patterns_prep,slang_prep,prep
goodbye,terimakasih atas waktu dan bantuannya,terimakasih atas waktu dan bantuannya,terima kasih atas waktu dan bantuannya,"['terima', 'kasih', 'atas', 'waktu', 'bantu']"
goodbye,"terima kasih, semoga semuanya berjalan lancar",terima kasih semoga semuanya berjalan lancar,terima kasih semoga semuanya berjalan lancar,"['terima', 'kasih', 'moga', 'semua', 'jalan', 'lancar']"
goodbye,"terimakasih, sampai ketemu lagi",terimakasih sampai ketemu lagi,terima kasih sampai ketemu lagi,"['terima', 'kasih', 'ketemu']"
goodbye,terimakasih atas perhatian anda,terimakasih atas perhatian anda,terima kasih atas perhatian anda,"['terima', 'kasih', 'atas', 'perhati']"
goodbye,"terimakasih, semoga sukses",terimakasih semoga sukses,terima kasih semoga sukses,"['terima', 'kasih', 'moga', 'sukses']"
goodbye,"terimakasih, semoga hari anda luar biasa",terimakasih semoga hari anda luar biasa,terima kasih semoga hari anda luar biasa,"['terima', 'kasih', 'moga', 'hari', 'luar', 'biasa']"
goodbye,"selamat tinggal, sampai bertemu lagi",selamat tinggal sampai bertemu lagi,selamat tinggal sampai bertemu lagi,"['selamat', 'tinggal', 'temu']"
goodbye,terimakasih banyak,terimakasih banyak,terima kasih banyak,"['terima', 'kasih', 'banyak']"
goodbye,terimakasih banyak atas informasinya,terimakasih banyak atas informasinya,terima kasih banyak atas informasinya,"['terima', 'kasih', 'banyak', 'atas', 'informasi']"
goodbye,terimakasih banyak atas bantuannya,terimakasih banyak atas bantuannya,terima kasih banyak atas bantuannya,"['terima', 'kasih', 'banyak', 'atas', 'bantu']"
goodbye,"terimakasih banyak, sampai jumpa lagi",terimakasih banyak sampai jumpa lagi,terima kasih banyak sampai jumpa lagi,"['terima', 'kasih', 'banyak', 'jumpa']"
goodbye,"terimakasih banyak, semoga hari anda menyenangkan",terimakasih banyak semoga hari anda menyenangkan,terima kasih banyak semoga hari anda menyenangkan,"['terima', 'kasih', 'banyak', 'moga', 'hari', 'senang']"
goodbye,"terimakasih banyak, sampai ketemu lagi",terimakasih banyak sampai ketemu lagi,terima kasih banyak sampai ketemu lagi,"['terima', 'kasih', 'banyak', 'ketemu']"
goodbye,terimakasih banyak atas perhatian anda,terimakasih banyak atas perhatian anda,terima kasih banyak atas perhatian anda,"['terima', 'kasih', 'banyak', 'atas', 'perhati']"
goodbye,"terimakasih banyak, semoga hari anda luar biasa",terimakasih banyak semoga hari anda luar biasa,terima kasih banyak semoga hari anda luar biasa,"['terima', 'kasih', 'banyak', 'moga', 'hari', 'luar', 'biasa']"
goodbye,makasih banyak,makasih banyak,terima kasih banyak,"['terima', 'kasih', 'banyak']"
goodbye,makasih banget,makasih banget,terima kasih sekali,"['terima', 'kasih', 'sekali']"
goodbye,makasih ya,makasih ya,terima kasih iya,"['terima', 'kasih', 'iya']"
goodbye,makasih banyak ya,makasih banyak ya,terima kasih banyak iya,"['terima', 'kasih', 'banyak', 'iya']"
goodbye,makasih banget ya,makasih banget ya,terima kasih sekali iya,"['terima', 'kasih', 'sekali', 'iya']"
goodbye,makasih banyak banget,makasih banyak banget,terima kasih banyak sekali,"['terima', 'kasih', 'banyak', 'sekali']"
goodbye,makasih banyak banget ya,makasih banyak banget ya,terima kasih banyak sekali iya,"['terima', 'kasih', 'banyak', 'sekali', 'iya']"
goodbye,makasih banyak banget loh,makasih banyak banget loh,terima kasih banyak sekali loh,"['terima', 'kasih', 'banyak', 'sekali', 'loh']"
goodbye,makasih banyak banget loh ya,makasih banyak banget loh ya,terima kasih banyak sekali loh iya,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya']"
goodbye,"makasih banyak banget loh ya, sampai jumpa",makasih banyak banget loh ya sampai jumpa,terima kasih banyak sekali loh iya sampai jumpa,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya', 'jumpa']"
goodbye,"makasih banyak banget loh ya, sampai ketemu lagi",makasih banyak banget loh ya sampai ketemu lagi,terima kasih banyak sekali loh iya sampai ketemu lagi,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya', 'ketemu']"
goodbye,"makasih banyak banget loh ya, sampai jumpa lagi",makasih banyak banget loh ya sampai jumpa lagi,terima kasih banyak sekali loh iya sampai jumpa lagi,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya', 'jumpa']"
goodbye,"makasih banyak banget loh ya ke carbot, sampai ketemu lagi di lain waktu",makasih banyak banget loh ya ke carbot sampai ketemu lagi di lain waktu,terima kasih banyak sekali loh iya ke carbot sampai ketemu lagi di lain waktu,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya', 'carbot', 'ketemu', 'di', 'waktu']"
goodbye,"makasih banyak banget loh ya carbot, semoga hari kamu menyenangkan",makasih banyak banget loh ya carbot semoga hari kamu menyenangkan,terima kasih banyak sekali loh iya carbot semoga hari kamu menyenangkan,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya', 'carbot', 'moga', 'hari', 'kamu', 'senang']"
goodbye,"makasih banyak banget carbot loh ya, semoga sukses selalu",makasih banyak banget carbot loh ya semoga sukses selalu,terima kasih banyak sekali carbot loh iya semoga sukses selalu,"['terima', 'kasih', 'banyak', 'sekali', 'carbot', 'loh', 'iya', 'moga', 'sukses', 'selalu']"
goodbye,"makasih banyak banget loh ya ke carbot, semoga hari kamu luar biasa",makasih banyak banget loh ya ke carbot semoga hari kamu luar biasa,terima kasih banyak sekali loh iya ke carbot semoga hari kamu luar biasa,"['terima', 'kasih', 'banyak', 'sekali', 'loh', 'iya', 'carbot', 'moga', 'hari', 'kamu', 'luar', 'biasa']"
goodbye,"terimakasih sekali ya carbot, atas semua informasinya",terimakasih sekali ya carbot atas semua informasinya,terima kasih sekali iya carbot atas semua informasinya,"['terima', 'kasih', 'sekali', 'iya', 'carbot', 'atas', 'semua', 'informasi']"
goodbye,"makasih banyak carbot ya, sampai jumpa",makasih banyak carbot ya sampai jumpa,terima kasih banyak carbot iya sampai jumpa,"['terima', 'kasih', 'banyak', 'carbot', 'iya', 'jumpa']"
goodbye,"makasih carbot ya, sampai ketemu lagi",makasih carbot ya sampai ketemu lagi,terima kasih carbot iya sampai ketemu lagi,"['terima', 'kasih', 'carbot', 'iya', 'ketemu']"
goodbye,"terimakasih carbot, sampai jumpa",terimakasih carbot sampai jumpa,terima kasih carbot sampai jumpa,"['terima', 'kasih', 'carbot', 'jumpa']"
goodbye,"makasih ya carbot, sampai ketemu lagi",makasih ya carbot sampai ketemu lagi,terima kasih iya carbot sampai ketemu lagi,"['terima', 'kasih', 'iya', 'carbot', 'ketemu']"
goodbye,"terimakasih ya carbot, sampai jumpa lagi",terimakasih ya carbot sampai jumpa lagi,terima kasih iya carbot sampai jumpa lagi,"['terima', 'kasih', 'iya', 'carbot', 'jumpa']"
goodbye,"makasih banyak carbot, sampai jumpa",makasih banyak carbot sampai jumpa,terima kasih banyak carbot sampai jumpa,"['terima', 'kasih', 'banyak', 'carbot', 'jumpa']"
goodbye,"makasih carbot ya, sampai jumpa",makasih carbot ya sampai jumpa,terima kasih carbot iya sampai jumpa,"['terima', 'kasih', 'carbot', 'iya', 'jumpa']"
goodbye,"terimakasih banyak carbot, sampai ketemu lagi",terimakasih banyak carbot sampai ketemu lagi,terima kasih banyak carbot sampai ketemu lagi,"['terima', 'kasih', 'banyak', 'carbot', 'ketemu']"
goodbye,"makasih banyak carbot, sampai ketemu lagi",makasih banyak carbot sampai ketemu lagi,terima kasih banyak carbot sampai ketemu lagi,"['terima', 'kasih', 'banyak', 'carbot', 'ketemu']"
goodbye,"terimakasih ya carbot, sampai jumpa",terimakasih ya carbot sampai jumpa,terima kasih iya carbot sampai jumpa,"['terima', 'kasih', 'iya', 'carbot', 'jumpa']"
goodbye,"makasih banyak ya, sampai jumpa lagi",makasih banyak ya sampai jumpa lagi,terima kasih banyak iya sampai jumpa lagi,"['terima', 'kasih', 'banyak', 'iya', 'jumpa']"
goodbye,"makasih ya, sampai jumpa lagi",makasih ya sampai jumpa lagi,terima kasih iya sampai jumpa lagi,"['terima', 'kasih', 'iya', 'jumpa']"
goodbye,"terimakasih banyak ya, sampai jumpa",terimakasih banyak ya sampai jumpa,terima kasih banyak iya sampai jumpa,"['terima', 'kasih', 'banyak', 'iya', 'jumpa']"
goodbye,"makasih banyak ya, sampai ketemu lagi",makasih banyak ya sampai ketemu lagi,terima kasih banyak iya sampai ketemu lagi,"['terima', 'kasih', 'banyak', 'iya', 'ketemu']"
goodbye,"terimakasih ya, sampai ketemu lagi",terimakasih ya sampai ketemu lagi,terima kasih iya sampai ketemu lagi,"['terima', 'kasih', 'iya', 'ketemu']"
goodbye,terimakasih sudah menjelaskan dengan detail,terimakasih sudah menjelaskan dengan detail,terima kasih sudah menjelaskan dengan detail,"['terima', 'kasih', 'jelas', 'detail']"
goodbye,makasih ya infonya sangat membantu,makasih ya infonya sangat membantu,terima kasih iya infonya sangat membantu,"['terima', 'kasih', 'iya', 'info', 'sangat', 'bantu']"
goodbye,saya ucapkan terimakasih atas bantuannya,saya ucapkan terimakasih atas bantuannya,saya ucapkan terima kasih atas bantuannya,"['ucap', 'terima', 'kasih', 'atas', 'bantu']"
goodbye,terima kasih atas waktunya,terima kasih atas waktunya,terima kasih atas waktunya,"['terima', 'kasih', 'atas', 'waktu']"
goodbye,thanks ya sudah membantu,thanks ya sudah membantu,terima kasih iya sudah membantu,"['terima', 'kasih', 'iya', 'bantu']"
goodbye,makasih banyak atas penjelasannya,makasih banyak atas penjelasannya,terima kasih banyak atas penjelasannya,"['terima', 'kasih', 'banyak', 'atas', 'jelas']"
goodbye,"terimakasih banyak, sangat membantu sekali",terimakasih banyak sangat membantu sekali,terima kasih banyak sangat membantu sekali,"['terima', 'kasih', 'banyak', 'sangat', 'bantu', 'sekali']"
goodbye,terimakasih atas kesediaannya membantu,terimakasih atas kesediaannya membantu,terima kasih atas kesediaannya membantu,"['terima', 'kasih', 'atas', 'sedia', 'bantu']"
goodbye,makasih banget informasinya berguna,makasih banget informasinya berguna,terima kasih sekali informasinya berguna,"['terima', 'kasih', 'sekali', 'informasi']"
goodbye,terima kasih telah meluangkan waktu,terima kasih telah meluangkan waktu,terima kasih telah meluangkan waktu,"['terima', 'kasih', 'luang', 'waktu']"
goodbye,thanks banget ya atas bantuannya,thanks banget ya atas bantuannya,terima kasih sekali iya atas bantuannya,"['terima', 'kasih', 'sekali', 'iya', 'atas', 'bantu']"
goodbye,terimakasih atas respon cepatnya,terimakasih atas respon cepatnya,terima kasih atas respon cepatnya,"['terima', 'kasih', 'atas', 'respon', 'cepat']"
goodbye,makasih banyak sudah dibantu,makasih banyak sudah dibantu,terima kasih banyak sudah dibantu,"['terima', 'kasih', 'banyak', 'bantu']"
goodbye,terimakasih atas kebaikannya,terimakasih atas kebaikannya,terima kasih atas kebaikannya,"['terima', 'kasih', 'atas', 'baik']"
goodbye,thanks untuk bantuannya,thanks untuk bantuannya,terima kasih untuk bantuannya,"['terima', 'kasih', 'bantu']"
goodbye,makasih ya sudah dijelaskan,makasih ya sudah dijelaskan,terima kasih iya sudah dijelaskan,"['terima', 'kasih', 'iya', 'jelas']"
goodbye,terimakasih sudah mau membantu,terimakasih sudah mau membantu,terima kasih sudah mau membantu,"['terima', 'kasih', 'mau', 'bantu']"
goodbye,makasih banyak atas arahannya,makasih banyak atas arahannya,terima kasih banyak atas arahannya,"['terima', 'kasih', 'banyak', 'atas', 'arah']"
goodbye,terimakasih atas perhatiannya,terimakasih atas perhatiannya,terima kasih atas perhatiannya,"['terima', 'kasih', 'atas', 'perhati']"
goodbye,makasih waktunya ya,makasih waktunya ya,terima kasih waktunya iya,"['terima', 'kasih', 'waktu', 'iya']"
goodbye,terimakasih informasinya sangat berguna,terimakasih informasinya sangat berguna,terima kasih informasinya sangat berguna,"['terima', 'kasih', 'informasi', 'sangat']"
goodbye,thanks untuk penjelasannya,thanks untuk penjelasannya,terima kasih untuk penjelasannya,"['terima', 'kasih', 'jelas']"
goodbye,terimakasih banyak atas solusinya,terimakasih banyak atas solusinya,terima kasih banyak atas solusinya,"['terima', 'kasih', 'banyak', 'atas', 'solusi']"
goodbye,makasih ya sudah dibantu,makasih ya sudah dibantu,terima kasih iya sudah dibantu,"['terima', 'kasih', 'iya', 'bantu']"
goodbye,terimakasih atas kesabarannya,terimakasih atas kesabarannya,terima kasih atas kesabarannya,"['terima', 'kasih', 'atas', 'sabar']"
goodbye,makasih banyak informasinya,makasih banyak informasinya,terima kasih banyak informasinya,"['terima', 'kasih', 'banyak', 'informasi']"
goodbye,terimakasih atas kemudahannya,terimakasih atas kemudahannya,terima kasih atas kemudahannya,"['terima', 'kasih', 'atas', 'mudah']"
goodbye,thanks ya sangat membantu,thanks ya sangat membantu,terima kasih iya sangat membantu,"['terima', 'kasih', 'iya', 'sangat', 'bantu']"
goodbye,terimakasih atas jawabannya,terimakasih atas jawabannya,terima kasih atas jawabannya,"['terima', 'kasih', 'atas', 'jawab']"
goodbye,makasih atas bantuan dan waktunya,makasih atas bantuan dan waktunya,terima kasih atas bantuan dan waktunya,"['terima', 'kasih', 'atas', 'bantu', 'waktu']"
about_car,bagaimana cara memilih mobil bekas yang berkualitas?,bagaimana cara memilih mobil bekas yang berkualitas,bagaimana cara memilih mobil bekas yang berkualitas,"['bagaimana', 'cara', 'pilih', 'mobil', 'bekas', 'kualitas']"
about_car,apa tips membeli mobil bekas?,apa tips membeli mobil bekas,apa tips membeli mobil bekas,"['apa', 'tips', 'beli', 'mobil', 'bekas']"
about_car,mohon saran untuk membeli mobil second,mohon saran untuk membeli mobil second,mohon saran untuk membeli mobil second,"['mohon', 'saran', 'beli', 'mobil', 'second']"
about_car,bagaimana cara cek mobil bekas sebelum beli?,bagaimana cara cek mobil bekas sebelum beli,bagaimana cara cek mobil bekas sebelum beli,"['bagaimana', 'cara', 'cek', 'mobil', 'bekas', 'beli']"
about_car,apa yang harus diperhatikan saat beli mobil bekas?,apa yang harus diperhatikan saat beli mobil bekas,apa yang harus diperhatikan saat beli mobil bekas,"['apa', 'harus', 'perhati', 'beli', 'mobil', 'bekas']"
about_car,tolong berikan tips memilih mobil second,tolong berikan tips memilih mobil second,tolong berikan tips memilih mobil second,"['ikan', 'tips', 'pilih', 'mobil', 'second']"
about_car,hal penting apa saja yang perlu dicek saat beli mobil bekas?,hal penting apa saja yang perlu dicek saat beli mobil bekas,hal penting apa saja yang perlu dicek saat beli mobil bekas,"['penting', 'apa', 'yang', 'perlu', 'cek', 'beli', 'mobil', 'bekas']"
about_car,cara menilai kondisi mobil bekas bagaimana?,cara menilai kondisi mobil bekas bagaimana,cara menilai kondisi mobil bekas bagaimana,"['cara', 'nilai', 'kondisi', 'mobil', 'bekas', 'bagaimana']"
about_car,apa saja yang harus diperiksa sebelum membeli mobil second?,apa saja yang harus diperiksa sebelum membeli mobil second,apa saja yang harus diperiksa sebelum membeli mobil second,"['apa', 'yang', 'periksa', 'beli', 'mobil', 'second']"
about_car,bagaimana cara mengetahui kualitas mobil bekas?,bagaimana cara mengetahui kualitas mobil bekas,bagaimana cara mengetahui kualitas mobil bekas,"['bagaimana', 'cara', 'tahu', 'kualitas', 'mobil', 'bekas']"
about_car,tips menghindari penipuan saat beli mobil bekas?,tips menghindari penipuan saat beli mobil bekas,tips menghindari penipuan saat beli mobil bekas,"['tips', 'hindar', 'tipu', 'beli', 'mobil', 'bekas']"
about_car,cara membedakan mobil bekas berkualitas dan tidak?,cara membedakan mobil bekas berkualitas dan tidak,cara membedakan mobil bekas berkualitas dan tidak,"['cara', 'beda', 'mobil', 'bekas', 'kualitas', 'tidak']"
about_car,apa indikator mobil bekas yang bagus?,apa indikator mobil bekas yang bagus,apa indikator mobil bekas yang bagus,"['apa', 'indikator', 'mobil', 'bekas', 'bagus']"
about_car,gimana sih cara pilih mobil bekas yang oke?,gimana sih cara pilih mobil bekas yang oke,bagaimana memang cara pilih mobil bekas yang oke,"['bagaimana', 'memang', 'cara', 'pilih', 'mobil', 'bekas', 'oke']"
about_car,mobil second yang bagus tuh yang gimana?,mobil second yang bagus tuh yang gimana,mobil second yang bagus itu yang bagaimana,"['mobil', 'second', 'bagus', 'yang', 'bagaimana']"
about_car,"mau beli mobil bekas, apa yang harus diperhatiin?",mau beli mobil bekas apa yang harus diperhatiin,mau beli mobil bekas apa yang harus diperhatiin,"['mau', 'beli', 'mobil', 'bekas', 'apa', 'harus', 'diperhatiin']"
about_car,cara tau mobil second masih bagus gimana?,cara tau mobil second masih bagus gimana,cara tahu mobil second masih bagus bagaimana,"['cara', 'tahu', 'mobil', 'second', 'bagus', 'bagaimana']"
about_car,mobil bekas yang worth it tuh yang kayak apa?,mobil bekas yang worth it tuh yang kayak apa,mobil bekas yang worth it itu yang seperti apa,"['mobil', 'bekas', 'worth', 'it', 'yang', 'apa']"
about_car,tips beli mobil second dong,tips beli mobil second dong,tips beli mobil second dong,"['tips', 'beli', 'mobil', 'second', 'dong']"
about_car,mobil bekas yang bagus cirinya apa aja?,mobil bekas yang bagus cirinya apa aja,mobil bekas yang bagus cirinya apa saja,"['mobil', 'bekas', 'bagus', 'ciri', 'apa']"
about_car,biar gak ketipu beli mobil bekas gimana?,biar gak ketipu beli mobil bekas gimana,agar tidak ketipu beli mobil bekas bagaimana,"['tidak', 'tipu', 'beli', 'mobil', 'bekas', 'bagaimana']"
about_car,cara cek kondisi mobil second?,cara cek kondisi mobil second,cara cek kondisi mobil second,"['cara', 'cek', 'kondisi', 'mobil', 'second']"
about_car,yang harus diperhatiin pas beli mobil bekas apa aja?,yang harus diperhatiin pas beli mobil bekas apa aja,yang harus diperhatiin pas beli mobil bekas apa saja,"['harus', 'diperhatiin', 'pas', 'beli', 'mobil', 'bekas', 'apa']"
about_car,mobil second yang recommended tuh yang gimana?,mobil second yang recommended tuh yang gimana,mobil second yang rekomendasi itu yang bagaimana,"['mobil', 'second', 'rekomendasi', 'yang', 'bagaimana']"
about_car,gimana cara tau mobil bekas masih oke?,gimana cara tau mobil bekas masih oke,bagaimana cara tahu mobil bekas masih oke,"['bagaimana', 'cara', 'tahu', 'mobil', 'bekas', 'oke']"
about_car,cek apa aja sih kalo mau beli mobil second?,cek apa aja sih kalo mau beli mobil second,cek apa saja memang kalau mau beli mobil second,"['cek', 'apa', 'memang', 'kalau', 'mau', 'beli', 'mobil', 'second']"
about_car,minta tips dong beli mobil bekas,minta tips dong beli mobil bekas,minta tips dong beli mobil bekas,"['minta', 'tips', 'dong', 'beli', 'mobil', 'bekas']"
about_car,mobil second yang berkualitas tuh yang kayak apa?,mobil second yang berkualitas tuh yang kayak apa,mobil second yang berkualitas itu yang seperti apa,"['mobil', 'second', 'kualitas', 'yang', 'apa']"
about_car,cara bedain mobil bekas bagus sama jelek gimana?,cara bedain mobil bekas bagus sama jelek gimana,cara membedakan mobil bekas bagus sama jelek bagaimana,"['cara', 'beda', 'mobil', 'bekas', 'bagus', 'sama', 'jelek', 'bagaimana']"
about_car,apa aja yang perlu dicek di mobil bekas?,apa aja yang perlu dicek di mobil bekas,apa saja yang perlu dicek di mobil bekas,"['apa', 'yang', 'perlu', 'cek', 'mobil', 'bekas']"
about_car,beli mobil second yang aman gimana caranya?,beli mobil second yang aman gimana caranya,beli mobil second yang aman bagaimana caranya,"['beli', 'mobil', 'second', 'aman', 'bagaimana', 'cara']"
about_car,tips biar gak nyesel beli mobil bekas?,tips biar gak nyesel beli mobil bekas,tips agar tidak menyesal beli mobil bekas,"['tips', 'tidak', 'sesal', 'beli', 'mobil', 'bekas']"
about_car,mobil second yang masih bagus cirinya apa?,mobil second yang masih bagus cirinya apa,mobil second yang masih bagus cirinya apa,"['mobil', 'second', 'masih', 'bagus', 'ciri', 'apa']"
about_car,cara teliti mobil bekas sebelum beli?,cara teliti mobil bekas sebelum beli,cara teliti mobil bekas sebelum beli,"['cara', 'teliti', 'mobil', 'bekas', 'beli']"
about_car,checklist beli mobil second apa aja?,checklist beli mobil second apa aja,checklist beli mobil second apa saja,"['checklist', 'beli', 'mobil', 'second', 'apa']"
about_car,hal penting sebelum beli mobil bekas?,hal penting sebelum beli mobil bekas,hal penting sebelum beli mobil bekas,"['penting', 'beli', 'mobil', 'bekas']"
about_car,cara milih mobil second yang tepat?,cara milih mobil second yang tepat,cara milih mobil second yang tepat,"['cara', 'milih', 'mobil', 'second', 'tepat']"
about_car,apa yang harus dipersiapkan sebelum beli mobil bekas?,apa yang harus dipersiapkan sebelum beli mobil bekas,apa yang harus dipersiapkan sebelum beli mobil bekas,"['apa', 'harus', 'siap', 'beli', 'mobil', 'bekas']"
about_car,dokumen apa saja yang perlu dicek saat beli mobil second?,dokumen apa saja yang perlu dicek saat beli mobil second,dokumen apa saja yang perlu dicek saat beli mobil second,"['dokumen', 'apa', 'yang', 'perlu', 'cek', 'beli', 'mobil', 'second']"
about_car,berapa budget ideal untuk beli mobil bekas?,berapa budget ideal untuk beli mobil bekas,berapa budget ideal untuk beli mobil bekas,"['berapa', 'budget', 'ideal', 'beli', 'mobil', 'bekas']"
about_car,waktu yang tepat untuk beli mobil second?,waktu yang tepat untuk beli mobil second,waktu yang tepat untuk beli mobil second,"['waktu', 'tepat', 'beli', 'mobil', 'second']"
about_car,lokasi terpercaya buat beli mobil bekas?,lokasi terpercaya buat beli mobil bekas,lokasi terpercaya buat beli mobil bekas,"['lokasi', 'percaya', 'buat', 'beli', 'mobil', 'bekas']"
about_car,cara nego harga mobil second yang baik?,cara nego harga mobil second yang baik,cara nego harga mobil second yang baik,"['cara', 'nego', 'harga', 'mobil', 'second', 'baik']"
about_car,apa pentingnya test drive mobil bekas?,apa pentingnya test drive mobil bekas,apa pentingnya test drive mobil bekas,"['apa', 'penting', 'test', 'drive', 'mobil', 'bekas']"
about_car,kapan sebaiknya ganti mobil bekas?,kapan sebaiknya ganti mobil bekas,kapan sebaiknya ganti mobil bekas,"['kapan', 'baik', 'ganti', 'mobil', 'bekas']"
about_car,cara bedain mobil bekas eks taksi?,cara bedain mobil bekas eks taksi,cara membedakan mobil bekas eks taksi,"['cara', 'beda', 'mobil', 'bekas', 'eks', 'taksi']"
about_car,mobil second tahun berapa yang bagus?,mobil second tahun berapa yang bagus,mobil second tahun berapa yang bagus,"['mobil', 'second', 'tahun', 'berapa', 'bagus']"
about_car,cara cek riwayat servis mobil bekas?,cara cek riwayat servis mobil bekas,cara cek riwayat servis mobil bekas,"['cara', 'cek', 'riwayat', 'servis', 'mobil', 'bekas']"
about_car,tips survey mobil bekas ke rumah penjual,tips survey mobil bekas ke rumah penjual,tips survey mobil bekas ke rumah penjual,"['tips', 'survey', 'mobil', 'bekas', 'rumah', 'jual']"
about_car,apa aja yang perlu dibawa pas cek mobil bekas?,apa aja yang perlu dibawa pas cek mobil bekas,apa saja yang perlu dibawa pas cek mobil bekas,"['apa', 'yang', 'perlu', 'bawa', 'pas', 'cek', 'mobil', 'bekas']"
about_car,cara tau keaslian surat-surat mobil second?,cara tau keaslian suratsurat mobil second,cara tahu keaslian suratsurat mobil second,"['cara', 'tahu', 'asli', 'suratsurat', 'mobil', 'second']"
about_car,gimana cara cek pajak mobil bekas?,gimana cara cek pajak mobil bekas,bagaimana cara cek pajak mobil bekas,"['bagaimana', 'cara', 'cek', 'pajak', 'mobil', 'bekas']"
about_car,tips beli mobil bekas kredit?,tips beli mobil bekas kredit,tips beli mobil bekas kredit,"['tips', 'beli', 'mobil', 'bekas', 'kredit']"
about_car,cara cek kondisi mesin mobil second?,cara cek kondisi mesin mobil second,cara cek kondisi mesin mobil second,"['cara', 'cek', 'kondisi', 'mesin', 'mobil', 'second']"
about_car,pentingnya cek fisik mobil bekas?,pentingnya cek fisik mobil bekas,pentingnya cek fisik mobil bekas,"['penting', 'cek', 'fisik', 'mobil', 'bekas']"
about_car,cara tau mobil bekas bekas tabrakan?,cara tau mobil bekas bekas tabrakan,cara tahu mobil bekas bekas tabrakan,"['cara', 'tahu', 'mobil', 'bekas', 'bekas', 'tabrak']"
about_car,tips cek interior mobil second,tips cek interior mobil second,tips cek interior mobil second,"['tips', 'cek', 'interior', 'mobil', 'second']"
about_car,cara tau mobil bekas terawat?,cara tau mobil bekas terawat,cara tahu mobil bekas terawat,"['cara', 'tahu', 'mobil', 'bekas', 'awat']"
about_car,cek sistem kelistrikan mobil bekas gimana?,cek sistem kelistrikan mobil bekas gimana,cek sistem kelistrikan mobil bekas bagaimana,"['cek', 'sistem', 'listrik', 'mobil', 'bekas', 'bagaimana']"
about_car,cara bedain cat asli dan cat ulang mobil bekas?,cara bedain cat asli dan cat ulang mobil bekas,cara membedakan cat asli dan cat ulang mobil bekas,"['cara', 'beda', 'cat', 'asli', 'cat', 'ulang', 'mobil', 'bekas']"
about_car,tips cek kaki-kaki mobil second,tips cek kakikaki mobil second,tips cek kakikaki mobil second,"['tips', 'cek', 'kakikaki', 'mobil', 'second']"
about_car,cara tau mobil bekas sering banjir?,cara tau mobil bekas sering banjir,cara tahu mobil bekas sering banjir,"['cara', 'tahu', 'mobil', 'bekas', 'sering', 'banjir']"
